Time (h),72,9
106.5,0.873,0.161
106.75,0.873,0.161
107,0.873,0.161
107.25,0.868,0.158
107.5,0.868,0.158
107.75,0.868,0.158
108,0.868,0.158
108.25,0.856,0.161
108.5,0.856,0.161
108.75,0.856,0.161
109,0.856,0.161
109.25,0.851,0.16
109.5,0.851,0.16
109.75,0.851,0.16
110,0.851,0.16
110.25,0.862,0.16
110.5,0.862,0.16
110.75,0.862,0.16
111,0.862,0.16
111.25,0.879,0.156
111.5,0.879,0.156
111.75,0.879,0.156
112,0.879,0.156
112.25,0.885,0.156
112.5,0.885,0.156
112.75,0.896,0.156
113,0.896,0.156
113.25,0.902,0.161
113.5,0.908,0.161
113.75,0.956,0.161
114,1.055,0.161
114.25,1.207,0.202
114.5,1.328,0.202
114.75,1.356,0.202
115,1.391,0.202
115.25,1.441,3.212
115.5,1.573,6.794
115.75,1.874,8.69
116,2.428,9.66
116.25,3.355,9.328
116.5,5.102,9.623
116.75,6.831,9.924
117,8.437,10.386
117.25,9.891,9.848
117.5,11.368,9.848
117.75,12.893,9.184
118,14.514,8.052
118.25,16.068,6.381
118.5,17.25,5.817
118.75,18.371,5.184
119,19.214,5.442
119.25,19.892,7.699
119.5,20.372,10.504
119.75,20.759,11.951
120,21.204,11.19
120.25,21.54,9.076
120.5,21.892,7.605
120.75,22.431,6.456
121,23.017,5.781
121.25,23.682,5.39
121.5,24.382,6.002
121.75,25.306,9.772
122,26.818,14.769
122.25,28.357,18.224
122.5,29.967,23.102
122.75,31.627,27.825
123,34.026,33.95
123.25,36.684,39.861
123.5,39.443,41.005
123.75,42.299,38.659
124,44.668,32.518
124.25,47.533,25.062
124.5,50.9,22.934
124.75,54.549,19.436
125,59.335,16.844
125.25,64.178,12.98
125.5,69.523,12.126
125.75,76.881,10.702
126,85.187,9.184
126.25,93.21,6.4
126.5,103.614,5.817
126.75,112.008,4.983
127,120.877,4.124
127.25,130.345,3.549
127.5,140.213,3.365
127.75,150.97,2.922
128,160.885,2.739
128.25,171.122,2.468
128.5,182.78,2.175
128.75,194.415,2.089
129,202.797,1.914
129.25,210.089,1.665
129.5,214.995,1.521
129.75,218.782,1.4
130,218.782,0.989
130.25,215.193,0.916
130.5,215.193,0.797
130.75,213.022,0.797
131,209.895,0.797
131.25,204.887,0.687
131.5,199.038,0.687
131.75,192.044,0.687
132,185.77,0.687
132.25,177.923,0.696
132.5,172.197,0.696
132.75,165.554,0.696
133,159.861,0.797
133.25,153.934,1.364
133.5,148.046,1.386
133.75,142.319,1.244
134,137.439,1.072
134.25,132.344,0.957
134.5,128.585,1.033
134.75,123.941,3.496
135,119.625,3.275
135.25,115.823,2.618
135.5,111.81,4.517
135.75,108.188,7.419
136,105.028,8.621
136.25,101.472,6.969
136.5,96.935,6.039
136.75,92.844,4.95
137,89.126,4.168
137.25,85.187,3.443
137.5,81.717,3.113
137.75,78.36,2.661
138,75.012,2.672
138.25,72.476,2.437
138.5,69.62,2.426
138.75,67.325,2.254
139,64.725,2.166
139.25,62.56,1.95
139.5,60.539,1.808
139.75,58.487,1.749
140,56.737,1.657
140.25,54.949,1.56
140.5,53.206,1.506
140.75,51.659,1.408
141,50.224,1.393
141.25,49.168,1.278
141.5,48.601,1.265
141.75,47.583,1.17
142,47.03,1.2
142.25,46.283,1.005
142.5,45.593,1.005
142.75,44.862,1.005
143,44.139,1.011
143.25,42.439,0.885
143.5,42.439,0.885
143.75,41.56,0.83
144,41.331,0.83
144.25,40.785,0.662
144.5,40.2,1.537
144.75,39.62,3.809
145,39.134,5.033
145.25,37.361,4.738
145.5,37.361,4.095
145.75,37.361,3.404
146,37.361,2.899
146.25,36.895,3.643
146.5,35.975,3.404
146.75,35.975,3.004
147,35.44,2.887
147.25,34.829,2.65
147.5,34.106,2.426
147.75,33.669,2.304
148,33.002,2.127
148.25,32.421,1.95
148.5,31.702,1.817
148.75,31.183,1.757
149,31.036,1.673
149.25,30.256,1.553
149.5,30.112,1.445
149.75,29.56,1.46
150,29.227,1.408
150.25,28.661,2.195
150.5,28.124,2.945
150.75,27.639,2.864
151,27.227,2.406
151.25,26.683,2.118
151.5,26.078,1.826
151.75,25.591,1.774
152,25.131,1.641
152.25,24.749,1.445
152.5,24.411,1.356
152.75,24.06,1.244
153,23.638,1.2
153.25,23.248,1.117
153.5,22.989,1.033
153.75,22.588,0.978
154,22.275,0.978
154.25,21.977,0.83
154.5,21.639,0.83
154.75,21.344,0.83
155,21.162,0.855
155.25,20.524,0.792
155.5,20.524,0.773
155.75,20.524,0.773
156,20.524,0.773
156.25,20.015,0.84
156.5,20.015,1.055
156.75,20.015,1.632
157,20.015,3.671
157.25,19.606,3.964
157.5,19.606,3.964
157.75,19.362,4.917
158,19.362,6.852
158.25,19.146,6.428
158.5,18.851,5.601
158.75,18.704,5.016
159,18.411,4.611
159.25,18.238,4.183
159.5,17.99,3.712
159.75,17.82,3.326
160,17.619,2.993
160.25,17.45,2.618
160.5,17.281,2.375
160.75,17.113,2.762
161,16.955,2.762
161.25,16.557,6.342
161.5,16.557,5.619
161.75,16.557,4.627
162,16.557,3.823
162.25,16.411,3.137
162.5,16.411,2.661
162.75,16.38,2.234
163,16.328,2.07
163.25,16.037,1.87
163.5,16.037,1.673
163.75,16.037,1.521
164,16.037,1.415
164.25,15.643,1.278
164.5,15.643,1.083
164.75,15.643,1.083
165,15.602,1.083
165.25,15.416,0.957
165.5,15.416,0.957
165.75,15.416,0.9
166,15.416,0.9
166.25,15.715,0.84
166.5,16.151,0.71
166.75,16.808,0.71
167,17.524,0.71
167.25,18.331,0.679
167.5,19.241,0.679
167.75,20.015,0.679
168,20.801,0.679
168.25,21.414,0.583
168.5,21.892,0.583
168.75,22.218,0.583
169,22.459,0.583
169.25,22.688,0.522
169.5,22.802,0.522
169.75,22.802,0.522
170,22.802,0.522
170.25,22.246,0.478
170.5,22.246,0.478
170.75,22.246,0.478
171,22.175,0.478
171.25,21.892,0.444
171.5,21.695,0.444
171.75,21.372,0.444
172,21.079,0.444
172.25,20.69,0.414
172.5,20.372,0.414
172.75,20.057,0.414
173,19.715,0.414
173.25,19.308,0.385
173.5,18.945,0.385
173.75,18.517,0.385
174,18.093,0.385
174.25,17.746,0.373
174.5,17.429,0.373
174.75,17.102,0.373
175,16.798,0.373
175.25,16.505,0.367
175.5,16.109,0.367
175.75,15.933,0.367
176,15.674,0.367
176.25,15.364,0.364
176.5,15.087,0.364
176.75,14.841,0.364
177,14.596,0.364
177.25,14.362,0.349
177.5,14.108,0.349
177.75,13.875,0.349
178,13.654,0.349
178.25,13.422,0.329
178.5,13.192,0.329
178.75,12.863,0.329
179,12.753,0.329
179.25,12.535,0.316
179.5,12.219,0.316
179.75,12.111,0.316
180,11.944,0.316
180.25,11.67,0.303
180.5,11.465,0.303
180.75,11.358,0.303
181,11.154,0.303
181.25,10.99,0.311
181.5,10.769,0.311
181.75,10.653,0.311
182,10.481,0.311
182.25,10.328,0.293
182.5,10.176,0.293
182.75,9.9,0.293
183,9.9,0.293
183.25,9.505,0.28
183.5,9.505,0.28
183.75,9.505,0.28
184,9.439,0.28
184.25,9.084,0.27
184.5,9.084,0.27
184.75,9.084,0.27
185,9.084,0.27
185.25,8.815,0.265
185.5,8.815,0.265
185.75,8.815,0.265
186,8.815,0.265
186.25,8.6,0.253
186.5,8.6,0.253
186.75,8.6,0.253
187,8.6,0.253
187.25,8.386,0.244
187.5,8.386,0.244
187.75,8.386,0.244
188,8.386,0.244
188.25,8.184,0.237
188.5,8.184,0.237
188.75,8.184,0.237
189,8.184,0.237
189.25,7.983,0.235
189.5,7.983,0.235
189.75,7.983,0.235
190,7.983,0.235
190.25,7.794,0.23
190.5,7.794,0.23
190.75,7.794,0.23
191,7.794,0.23
191.25,7.586,0.226
191.5,7.586,0.226
191.75,7.586,0.226
192,7.586,0.226
192.25,7.35,0.224
192.5,7.35,0.224
192.75,7.35,0.224
193,7.35,0.224
193.25,7.078,0.219
193.5,7.078,0.219
193.75,7.078,0.219
194,7.078,0.219
194.25,6.768,0.217
194.5,6.768,0.217
194.75,6.768,0.217
195,6.768,0.217
195.25,6.476,0.215
195.5,6.476,0.215
195.75,6.476,0.215
196,6.476,0.215
196.25,6.188,0.213
196.5,6.188,0.213
196.75,6.188,0.213
197,6.188,0.213
197.25,5.935,0.2
197.5,5.935,0.2
197.75,5.935,0.2
198,5.935,0.2
198.25,5.686,0.198
198.5,5.686,0.198
198.75,5.686,0.198
199,5.686,0.198
199.25,5.469,0.196
199.5,5.469,0.196
